id,Controle_S_41,Controle_S_40,Controle_S_39,AB_S_19,AB_S_20,AB_S_27,AB_S_28,AB_S_34,AB_S_38,AB_S_9,Alagille_S_13,Alagille_S_16,Alagille_S_2,Alagille_S_5,Alagille_S_6,Alagille_S_7,Alagille_S_8,BSEP_S_15,BSEP_S_17,BSEP_S_18,BSEP_S_24,BSEP_S_36,FIC1_S_23,MDR3_S_1,MDR3_S_14,MDR3_S_31,MDR3_S_33,TJP2_S_25,TJP2_S_26
ENSG00000004142,2578,2151,1704,1907,2336,1194,2413,1626,2143,2107,1520,1349,1869,2185,1111,1709,1557,1748,1613,1419,2700,2589,1692,1740,2452,1508,1355,1758,1789
ENSG00000004399,386,510,528,523,1187,338,514,760,924,1509,560,555,273,314,1264,970,473,999,1118,807,919,346,531,2016,1077,630,679,348,1319
ENSG00000004455,2056,1342,1110,1574,1905,987,1688,1133.89,1836,1862,1398,1336,2313.96,2256.99,1313,1606.96,1436.95,1815,1529,1619,2102,1674,1598,1812,2334.76,1674,741,2011,1321
ENSG00000004468,170,251.32,159.02,45,37.26,34,96.02,28,59.85,89.01,23.57,78.89,9.01,35,132.31,35,107,78,39,13,92.33,36.32,122,108,102,97.99,57.04,51.99,46
ENSG00000004478,1600.07,653.44,1142,1847.12,1132.9,694.31,692.6,545.8,1318.44,1282.46,3595.36,1406.24,6503.67,3780.89,1394.46,2671.65,852.68,2700.28,954.97,2193.02,671.29,2343.81,3450.61,3063.09,1713.81,1060.38,359.44,2956.31,1294.81
ENSG00000004487,344,360,281,318,662,248,452,350,448,720,404,340,560,429,575,509,369,480,494,468,454,414,393,737,497,429,300,385,531
ENSG00000004534,427,668.42,487.06,410.59,659.65,268.13,364.01,437.15,570.15,1235.42,726.15,382.94,589.59,556.08,816.13,830.6,537.44,502.01,517.29,571,527.73,540.45,490,1309.62,781.16,606.64,267,505.84,532.27
ENSG00000004660,22.26,16.02,13.09,39.01,42,15,19.05,24,48.17,43,31.08,23.01,5,6,96.84,52,23.01,38,53,52.01,61.02,18.06,33,141,57.01,40.01,51,22.55,61
ENSG00000004700,255.79,149.29,180.85,253.24,337.41,138.32,205.78,263.68,244.9,447.34,165.43,257.12,129.25,258.05,457.08,269.47,276.34,363.62,291.62,313.45,315.51,188.67,270.87,524.48,388.35,217.32,205.95,251.77,338.26
ENSG00000004766,96.01,115,63,120,203.01,76,86.56,125.31,162.43,185,108,91,123,221,149.01,175.05,142,188,114.1,139,207,123.55,191,214.95,146,145,134.99,137,106
ENSG00000004776,50.82,158.07,54.48,181.47,329.8,168.82,105.16,560.66,214.58,727.74,577.67,137.28,145.51,84.07,973.59,555.4,291.81,400.65,543.37,565.87,304.15,127.31,232.58,1591.75,335.86,249.4,401.18,129.72,1004.43
