id,AB_S_19,AB_S_20,AB_S_27,AB_S_28,AB_S_34,AB_S_38,AB_S_9,Alagille_S_13,Alagille_S_16,Alagille_S_2,Alagille_S_5,Alagille_S_6,Alagille_S_7,Alagille_S_8,BSEP_S_15,BSEP_S_17,BSEP_S_18,BSEP_S_24,BSEP_S_36,FIC1_S_23,MDR3_S_1,MDR3_S_14,MDR3_S_31,MDR3_S_33,TJP2_S_25,TJP2_S_26
hsa-miR-34a-5p,110.475978384036,123.536267393829,176.935696880412,154.350913091682,122.220125362089,142.78522887654,110.408283666177,147.460094702377,99.9271784306431,74.4679323841056,117.739150225392,52.4300926696497,103.449927460518,171.157233734189,64.1175913185094,98.9924041265714,89.5471016569306,159.479042393875,131.778757257466,97.58077407645,129.920719775404,105.242176316538,117.086728515945,161.191130582973,189.588259537487,106.063427461785
hsa-miR-214-5p,82.8569837880268,223.909484651314,185.566706484335,64.642690098226,171.518999457721,192.210885026112,152.692307197904,216.976996490641,99.9271784306431,121.500310731962,149.84982755959,291.511315243252,275.055101247966,234.679506047908,190.749834172565,258.752422667474,186.556461785272,161.472530423798,128.049169787915,276.791618774546,215.836034465591,198.282361176086,177.549547339753,210.897646621775,191.97802751485,250.764246356078
hsa-miR-214-3p,504.046651377163,1732.93930649676,1063.96809299263,316.617257623964,1156.98295143187,1629.21607307847,1334.29585366784,2860.72583722612,1575.77473679091,960.24439126873,1107.81836802982,2003.52860788288,2473.06179529144,2051.24004346386,1314.41062202944,1961.22574908188,2037.69404659326,1439.29835760472,914.99212586316,1398.03224397991,2108.06845312995,1744.88477834956,1537.48310723397,1191.53619875872,1222.76461508421,2280.36369042838
hsa-miR-199a-5p,1077.14078924435,2465.57800340183,3369.23229447668,882.5706056268,3881.77280509256,2972.86168840387,2150.22090033561,4174.52506193159,1750.00674020844,1814.66593125478,2558.15062762442,4318.84150017461,4501.89743148772,4214.52631725886,3332.51180877952,3730.34742678941,3169.96739865534,2755.00045735419,2036.3547583748,3041.89297649857,3457.56754240996,2422.0953042125,3049.05357782916,2514.43961847713,2340.37943916444,2854.62139054291
hsa-miR-199a-3p,1955.19465910913,1076.65288596705,3518.31336945352,1749.3103483724,6288.17409688562,4199.3501928562,1840.13806110294,2419.04774404614,835.288722266401,823.066621087483,827.741904614876,2330.69238614149,2570.42643290134,2652.93712287992,2000.46884913749,1898.49788904128,2604.3282065224,1590.8034478789,1162.3880946767,1917.83752127177,3407.27565088399,1250.70412434147,2958.8392132349,2312.77318197684,3088.37681607914,1835.65489099933
hsa-miR-181b-5p,516.705357233667,744.649167346133,722.650895019334,464.371977848481,864.784416427553,737.723682528792,854.293882835451,487.320503444999,394.584243033821,397.815533525617,371.056715861841,967.509976730602,720.498318313255,858.432930017348,735.749360379895,1125.18098947826,928.304953843514,749.551499251211,609.165953359984,808.794492825961,854.962155941371,433.170696723142,657.413188798543,850.691517349787,608.594244901848,806.83964462001
hsa-miR-1287-5p,9.20633153200297,15.4420334242286,13.7311516426041,13.8520050210484,20.5411975398469,13.7293489304366,10.1794871465269,8.42629112585013,8.96782370531412,9.79841215580337,5.35177955569963,6.29161112035796,9.73646376098993,11.4692991677549,13.6249881551832,10.7813509444781,9.94967796188117,12.9576721945023,16.1615457013873,9.3827667381202,12.5729728814908,7.6262446606187,5.75836369750549,11.3614893802977,11.1522505610286,25.758260955005
hsa-miR-146b-5p,5033.56176512263,3488.18377238408,18176.1215886242,17788.612924173,13702.5193488933,3459.79593047002,3897.960539647,5456.02350398796,4299.43090786203,4240.7527810317,2080.05832064859,5378.62844000379,5975.75463330757,4719.17548064008,8476.34557230694,6696.19905933402,3082.41023259079,4312.91135273935,2091.05537459488,4589.11121161459,6810.36031080749,5948.47083528259,5052.00441727815,7443.19573026751,6483.44052258657,4458.45193294719
hsa-miR-6715b-3p,3.45237432450111,3.43156298316191,1.17695585508035,0.659619286716592,0,1.83057985739154,0,2.10657278146253,5.12447068875093,0,3.56785303713309,0.699067902261996,2.43411594024748,1.76450756426999,4.00734945740684,2.94036843940311,0.994967796188117,1.99348802992343,1.24319582318364,1.87655334762404,2.09549548024846,9.15149359274244,6.71809098042307,3.55046543134302,1.59317865157552,1.51519182088265
hsa-miR-3944-3p,4.60316576600149,2.57367223737143,1.17695585508035,4.61733500701614,2.05411975398469,3.66115971478309,0.783037472809763,5.61752741723342,10.2489413775019,3.91936486232135,7.13570607426618,0,1.21705797012374,4.41126891067496,0.801469891481367,2.94036843940311,1.98993559237623,1.99348802992343,2.48639164636728,2.81483002143606,8.38198192099383,0,2.87918184875274,1.42018617253721,1.59317865157552,0
hsa-miR-3944-5p,2.30158288300074,3.43156298316191,1.17695585508035,1.97885786014978,0.513529938496172,4.57644964347886,2.34911241842929,3.51095463577089,10.2489413775019,13.7177770181247,8.91963259283272,2.09720370678599,2.43411594024748,7.94028403921493,2.4044096744441,0,5.9698067771287,2.99023204488515,9.94556658546913,2.81483002143606,0,1.52524893212374,2.87918184875274,2.13027925880581,1.59317865157552,3.0303836417653
hsa-miR-483-5p,153.055261719549,119.246813664876,46.6859155848538,499.33180004446,13.8653083393966,133.632329589583,69.6903350800689,240.851488013883,416.363243461013,503.638384808293,344.297818083343,96.4713705121554,92.4964057294043,111.163976549009,142.661640683683,135.256948212543,85.5672304721781,62.7948729425882,277.232668569952,75.0621339049616,171.830629380374,280.645803510768,181.388456471423,164.741596014316,26.2874477509961,137.12485978988
